tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets,polarity,subjectivity
RT @EpicBarchie: @RiverdaleWriter @cmaroon @nocontextrvd Just curious to find out when Glenn will show up and how will it affect Barchie dy…,False,en,0,2,2021-02-25 23:15:53,1365078093090742278,"['curious', 'find', 'glenn', 'show', 'affect', 'barchie', 'dy']",curious find glenn show affect barchie dy,-0.1,1.0
bugheads speaking on barchie when their ship is just no where in sight🤔 embarrassing,False,en,17,1,2021-02-25 23:15:03,1365077880410095620,"['bugheads', 'speaking', 'barchie', 'ship', 'sight', 'embarrassing']",bugheads speaking barchie ship sight embarrassing,0.0,0.0
"ras says the show is revamped and calls your ship a burden. Ted basically confirmed a barchie love confession, Lili said we are in for a wild ride then posted a red head and blonde girl emoji. Kj says that this season could change yall's mind on whose endgame but you still think+",False,en,201,30,2021-02-25 23:14:52,1365077835468206080,"['ras', 'says', 'show', 'revamped', 'calls', 'ship', 'burden', 'ted', 'basically', 'confirmed', 'barchie', 'love', 'confession', 'lili', 'said', 'wild', 'ride', 'posted', 'red', 'head', 'blonde', 'girl', 'emoji', 'kj', 'says', 'season', 'could', 'change', 'yall', 'mind', 'whose', 'endgame', 'still', 'think']",ras says show revamped calls ship burden ted basically confirmed barchie love confession lili said wild ride posted red head blonde girl emoji kj says season could change yall mind whose endgame still think,0.2,0.4
i gotta admit tho i'm loving the barchie pairing pero varchie pa rin talaga 🥺,False,en,0,0,2021-02-25 23:14:46,1365077811258560512,"['gotta', 'admit', 'tho', 'loving', 'barchie', 'pairing', 'pero', 'varchie', 'pa', 'rin', 'talaga']",gotta admit tho loving barchie pairing pero varchie pa rin talaga,0.6,0.95
now i love freshman barchie but adult barchie is HITTING,False,en,2,0,2021-02-25 23:14:40,1365077784427720708,"['love', 'freshman', 'barchie', 'adult', 'barchie', 'hitting']",love freshman barchie adult barchie hitting,0.3,0.44999999999999996
"yup yup yup, va was always more known for their lust/physical part of their relationship while bh was known for all their fluff, cutesy moments or whatever while barchie just happens to have both romantic AND sexual chemistry 

who else is doing it like them https://t.co/soey3P36ap",True,en,10,0,2021-02-25 23:14:33,1365077755788951559,"['yup', 'yup', 'yup', 'va', 'always', 'known', 'lust', 'physical', 'part', 'relationship', 'bh', 'known', 'fluff', 'cutesy', 'moments', 'whatever', 'barchie', 'happens', 'romantic', 'sexual', 'chemistry', 'else', 'like']",yup yup yup va always known lust physical part relationship bh known fluff cutesy moments whatever barchie happens romantic sexual chemistry else like,0.225,0.5333333333333333
RT @lizzieshermione: THE INSANE CHEMISTRY THIS TWO SHARE 🔥 #Barchie  https://t.co/kFt70kdieQ,False,en,0,2,2021-02-25 23:14:00,1365077616701636610,"['insane', 'chemistry', 'two', 'share', 'barchie']",insane chemistry two share barchie,-1.0,1.0
RT @augustbarchie: what if barchie actually gets a rain kiss,False,en,0,3,2021-02-25 23:12:06,1365077138366464001,"['barchie', 'actually', 'gets', 'rain', 'kiss']",barchie actually gets rain kiss,0.0,0.1
"@Laurasm49092036 @mangogrove1965 Sur Jan. This simple rondom Barchie pic screaming CHEMISTRY and killed the 4 seasons no chemistry ""Varchie.. Jughead "" https://t.co/u9B3krs80U",False,en,2,0,2021-02-25 23:11:55,1365077093655195650,"['sur', 'jan', 'simple', 'rondom', 'barchie', 'pic', 'screaming', 'chemistry', 'killed', '4', 'seasons', 'chemistry', 'varchie', 'jughead']",sur jan simple rondom barchie pic screaming chemistry killed 4 seasons chemistry varchie jughead,-0.1,0.17857142857142858
@lia_bronte Girlll i haven't watched the last episodes bc of barchie 😭,False,en,2,0,2021-02-25 23:10:42,1365076787340976133,"['girlll', 'watched', 'last', 'episodes', 'bc', 'barchie']",girlll watched last episodes bc barchie,0.0,0.06666666666666667
THE CAR SCENE AHH 😧 #Barchie #RiverdaleSeason5 #BarchieSeason5 #Riverdale https://t.co/L3q901kQaA,False,en,4,0,2021-02-25 23:09:25,1365076464287252483,"['car', 'scene', 'ahh', 'barchie', 'riverdaleseason5', 'barchieseason5', 'riverdale']",car scene ahh barchie riverdaleseason5 barchieseason5 riverdale,0.0,0.0
paper bag is to barchie what never is a promise is to bughead.... none of them Get her,False,en,3,0,2021-02-25 23:08:46,1365076301804146691,"['paper', 'bag', 'barchie', 'never', 'promise', 'bughead', 'none', 'get']",paper bag barchie never promise bughead none get,0.0,0.0
