tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,processed_text,cleaned_tweets
RT @chonibIossom: okay let’s rank the s5 choni moments 🤔 https://t.co/svnfiv2AqT,False,en,0,30,2021-02-26 07:32:18,1365203016543047681,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2263}","['okay', 'let', 'rank', 's5', 'choni', 'moments']",okay let rank s5 choni moments
Angst choni a gente quase morrendo e depois enemies to lovers kkkkk,False,en,0,0,2021-02-26 07:32:08,1365202977796014087,"{'neg': 0.219, 'neu': 0.548, 'pos': 0.233, 'compound': 0.0516}","['angst', 'choni', 'gente', 'quase', 'morrendo', 'e', 'depois', 'enemies', 'lovers', 'kkkkk']",angst choni gente quase morrendo e depois enemies lovers kkkkk
Choni é enemies to friends to lovers to enemies to lovers https://t.co/MShxeUo28U,False,en,0,0,2021-02-26 07:30:18,1365202513406926850,"{'neg': 0.287, 'neu': 0.269, 'pos': 0.444, 'compound': 0.5423}","['choni', 'enemies', 'friends', 'lovers', 'enemies', 'lovers']",choni enemies friends lovers enemies lovers
Choni forever i hope yall like i took me qnd hour to get it right https://t.co/qDsv110l7K,False,en,0,0,2021-02-26 07:28:06,1365201962417991682,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.6597}","['choni', 'forever', 'hope', 'yall', 'like', 'took', 'qnd', 'hour', 'get', 'right']",choni forever hope yall like took qnd hour get right
"RT @abnormallyadam: #Riverdale 5x06 REACTION is now LIVE!

Barchie getting steamy!! I SEE YOU HAND PRINT. Veronica Lodge is a queen and Cha…",False,en,0,18,2021-02-26 07:15:03,1365198676860297216,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.7012}","['riverdale', '5x06', 'reaction', 'live', 'barchie', 'getting', 'steamy', 'see', 'hand', 'print', 'veronica', 'lodge', 'queen', 'cha']",riverdale 5x06 reaction live barchie getting steamy see hand print veronica lodge queen cha
Choni en batalla ..... I LOVE IT 🔥🔥🔥🔥 #Riverdale https://t.co/KNkb59s93q,False,en,0,0,2021-02-26 07:06:27,1365196511580196864,"{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.7125}","['choni', 'en', 'batalla', 'love', 'riverdale']",choni en batalla love riverdale
horrible people attracted by this horrible horrible ship. unsurprising. mass quote me please u probably are friends with or are a racist homophobic bughead from the 2018-2019 era who said choni doesn’t deserve screentime anyway https://t.co/JzpQx1LsF5,False,en,28,0,2021-02-26 06:57:24,1365194235595476995,"{'neg': 0.292, 'neu': 0.543, 'pos': 0.165, 'compound': -0.8074}","['horrible', 'people', 'attracted', 'horrible', 'horrible', 'ship', 'unsurprising', 'mass', 'quote', 'please', 'u', 'probably', 'friends', 'racist', 'homophobic', 'bughead', '2018', '2019', 'era', 'said', 'choni', 'deserve', 'screentime', 'anyway']",horrible people attracted horrible horrible ship unsurprising mass quote please u probably friends racist homophobic bughead 2018 2019 era said choni deserve screentime anyway
@transjnpr @blossom_choni @dykespeon Really? What went wrong with it? I’m curious cause I always read them in my own time so I never came across the fandom,False,en,2,0,2021-02-26 06:42:56,1365190596059627520,"{'neg': 0.128, 'neu': 0.792, 'pos': 0.079, 'compound': -0.345}","['really', 'went', 'wrong', 'curious', 'cause', 'always', 'read', 'time', 'never', 'came', 'across', 'fandom']",really went wrong curious cause always read time never came across fandom
my baby cheryl being compared to that block of wood nathan tho...... i’ll allow it because choni soulmates and endgame but know it pains me greatly 😔,False,en,3,0,2021-02-26 06:41:08,1365190139899740162,"{'neg': 0.188, 'neu': 0.764, 'pos': 0.048, 'compound': -0.6369}","['baby', 'cheryl', 'compared', 'block', 'wood', 'nathan', 'tho', 'allow', 'choni', 'soulmates', 'endgame', 'know', 'pains', 'greatly']",baby cheryl compared block wood nathan tho allow choni soulmates endgame know pains greatly
@KiarasIris This was me after the choni break up bc I had a call with my gf 😭😂,False,en,0,0,2021-02-26 06:27:02,1365186593821253635,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['choni', 'break', 'bc', 'call', 'gf']",choni break bc call gf
RT @lovelltrin: the white writers really thought they could get away with this,True,en,0,195,2021-02-26 06:17:37,1365184223041232898,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['white', 'writers', 'really', 'thought', 'could', 'get', 'away']",white writers really thought could get away
"@BrianEPaterson This whole season has been excellent, yes. Love seeing Toni and Barchie!! Ready to see more of Choni, though I'm enjoying the build up you guys have set up for them.",False,en,16,0,2021-02-26 06:14:25,1365183420414918658,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.9523}","['whole', 'season', 'excellent', 'yes', 'love', 'seeing', 'toni', 'barchie', 'ready', 'see', 'choni', 'though', 'enjoying', 'build', 'guys', 'set']",whole season excellent yes love seeing toni barchie ready see choni though enjoying build guys set
@BrianEPaterson hell yesssss y'all are killing it with the #VARCHIE  slow burn  the crumbs are delicious  can't wait to see what u have planned with #bughead and #choni https://t.co/VBX3ecIdIY,False,en,5,0,2021-02-26 06:12:09,1365182849813471233,"{'neg': 0.239, 'neu': 0.663, 'pos': 0.098, 'compound': -0.743}","['hell', 'yesssss', 'killing', 'varchie', 'slow', 'burn', 'crumbs', 'delicious', 'wait', 'see', 'u', 'planned', 'bughead', 'choni']",hell yesssss killing varchie slow burn crumbs delicious wait see u planned bughead choni
@BrianEPaterson y'all  giving toni and Tabitha the spot light  letting kangs speak more then once per epsiode and giving us   bughead varchie and choni crumbs every episode and setting up some amazing slow burns  for each couple   of course episode was amazing,False,en,6,0,2021-02-26 06:05:07,1365181077468364801,"{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.9081}","['giving', 'toni', 'tabitha', 'spot', 'light', 'letting', 'kangs', 'speak', 'per', 'epsiode', 'giving', 'us', 'bughead', 'varchie', 'choni', 'crumbs', 'every', 'episode', 'setting', 'amazing', 'slow', 'burns', 'couple', 'course', 'episode', 'amazing']",giving toni tabitha spot light letting kangs speak per epsiode giving us bughead varchie choni crumbs every episode setting amazing slow burns couple course episode amazing
"@finneas Beautiful, beautiful, beautiful!! Such an amazing doc🥺❤️",False,en,0,0,2021-02-26 05:40:38,1365174917113798659,"{'neg': 0.0, 'neu': 0.199, 'pos': 0.801, 'compound': 0.9523}","['beautiful', 'beautiful', 'beautiful', 'amazing', 'doc']",beautiful beautiful beautiful amazing doc
RT @finneas: The Doc is one of those things that chokes me up if I watch literally any of it but I am so glad it is yours and I am so glad…,False,en,0,858,2021-02-26 05:40:16,1365174825514389506,"{'neg': 0.057, 'neu': 0.793, 'pos': 0.15, 'compound': 0.6485}","['doc', 'one', 'things', 'chokes', 'watch', 'literally', 'glad', 'glad']",doc one things chokes watch literally glad glad
ive always thot choni kinda boring because it reduced their personalities and especially tonis storylines to just being about cheryl but i am holding out hope that theyre about to rectify all that,False,en,0,0,2021-02-26 05:15:39,1365168628300214273,"{'neg': 0.043, 'neu': 0.849, 'pos': 0.109, 'compound': 0.5182}","['ive', 'always', 'thot', 'choni', 'kinda', 'boring', 'reduced', 'personalities', 'especially', 'tonis', 'storylines', 'cheryl', 'holding', 'hope', 'theyre', 'rectify']",ive always thot choni kinda boring reduced personalities especially tonis storylines cheryl holding hope theyre rectify
