tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
RT @beautifullyles: talk shit on riverdale all you want but they’re doing really good with adult choni after the 7 year time jump madelaine…,False,en,0,8,2021-02-26 04:38:18,1365159230714634247,"['talk', 'shit', 'riverdale', 'want', 'really', 'good', 'adult', 'choni', '7', 'year', 'time', 'jump', 'madelaine']",talk shit riverdale want really good adult choni 7 year time jump madelaine
"Previous seasons of #Riverdale: most of these actors look too old to pass as teenagers.
Post time jump: All of these actors look like teenagers.",False,en,1,1,2021-02-26 04:32:47,1365157839967191040,"['previous', 'seasons', 'riverdale', 'actors', 'look', 'old', 'pass', 'teenagers', 'post', 'time', 'jump', 'actors', 'look', 'like', 'teenagers']",previous seasons riverdale actors look old pass teenagers post time jump actors look like teenagers
"RT @cappuchoni: @CW_Riverdale The time jump really reinvigorated the series. It’s fresh, and I’m actually excited about watching every stor…",False,en,0,5,2021-02-26 03:38:25,1365144158957142016,"['time', 'jump', 'really', 'reinvigorated', 'series', 'fresh', 'actually', 'excited', 'watching', 'every', 'stor']",time jump really reinvigorated series fresh actually excited watching every stor
"Tbh, Riverdale is noticeably better now that they are out of high school. I’m not saying I didn’t enjoy the high school seasons, but the time jump episodes are better plus we have more Betty and Archie scenes.",False,en,1,0,2021-02-26 03:37:54,1365144030649188353,"['tbh', 'riverdale', 'noticeably', 'better', 'high', 'school', 'saying', 'enjoy', 'high', 'school', 'seasons', 'time', 'jump', 'episodes', 'better', 'plus', 'betty', 'archie', 'scenes']",tbh riverdale noticeably better high school saying enjoy high school seasons time jump episodes better plus betty archie scenes
It’s so annoying in the new season of Riverdale after the time jump they have to reiterate what they do for a living over and over... I got it the first time! 😂,False,en,0,0,2021-02-26 02:23:20,1365125262749351936,"['annoying', 'new', 'season', 'riverdale', 'time', 'jump', 'reiterate', 'living', 'got', 'first', 'time']",annoying new season riverdale time jump reiterate living got first time
"RT @bettyfelon: After a seven-year time jump on Riverdale, FBI agent Betty Cooper is working on the Trash Bag Killer case (aka the TBK), st…",False,en,0,2,2021-02-26 02:06:26,1365121012514385925,"['seven', 'year', 'time', 'jump', 'riverdale', 'fbi', 'agent', 'betty', 'cooper', 'working', 'trash', 'bag', 'killer', 'case', 'aka', 'tbk', 'st']",seven year time jump riverdale fbi agent betty cooper working trash bag killer case aka tbk st
"After a seven-year time jump on Riverdale, FBI agent Betty Cooper is working on the Trash Bag Killer case (aka the TBK), struggling novelist Jughead is looking for the Mothman, and mayor Hiram Lodge is running the entire town into the ground while enjoying some Doritos. https://t.co/Mo7X1q6Fel",False,en,27,2,2021-02-26 01:56:54,1365118613288534019,"['seven', 'year', 'time', 'jump', 'riverdale', 'fbi', 'agent', 'betty', 'cooper', 'working', 'trash', 'bag', 'killer', 'case', 'aka', 'tbk', 'struggling', 'novelist', 'jughead', 'looking', 'mothman', 'mayor', 'hiram', 'lodge', 'running', 'entire', 'town', 'ground', 'enjoying', 'doritos']",seven year time jump riverdale fbi agent betty cooper working trash bag killer case aka tbk struggling novelist jughead looking mothman mayor hiram lodge running entire town ground enjoying doritos
"RT @AWKWRDCAIT: So the new episode of @CW_Riverdale is set in 2021. It is supposed to be a 7 year time jump.
But in the last episode they o…",False,en,0,1,2021-02-26 01:48:28,1365116489909473284,"['new', 'episode', 'set', '2021', 'supposed', '7', 'year', 'time', 'jump', 'last', 'episode']",new episode set 2021 supposed 7 year time jump last episode
Riverdale Season 5 - Hiram's Time Jump --&gt; https://t.co/DSgPBP8Hzm  #Riverdale #Season5,False,en,0,0,2021-02-26 01:21:11,1365109624819564548,"['riverdale', 'season', '5', 'hiram', 'time', 'jump', 'gt', 'riverdale', 'season5']",riverdale season 5 hiram time jump gt riverdale season5
"Is anyone talking about the fact that we havent seen Hiram Lodge standing since the time jump? But we also havent explicitly seen him in a wheelchair or something. Like we know he was sick, why are they trying to make this a mysterious thing? #Riverdale",False,en,0,0,2021-02-26 01:14:51,1365108031478898695,"['anyone', 'talking', 'fact', 'havent', 'seen', 'hiram', 'lodge', 'standing', 'since', 'time', 'jump', 'also', 'havent', 'explicitly', 'seen', 'wheelchair', 'something', 'like', 'know', 'sick', 'trying', 'make', 'mysterious', 'thing', 'riverdale']",anyone talking fact havent seen hiram lodge standing since time jump also havent explicitly seen wheelchair something like know sick trying make mysterious thing riverdale
