tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,processed_text,cleaned_tweets
@Ienamathers What ship did someone compare them to? B*ghead..😳??,False,en,1,0,2021-02-25 18:18:26,1365003236684558342,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['ship', 'someone', 'compare', 'b', 'ghead']",ship someone compare b ghead
╱ gimme falice 🥺,False,en,0,0,2021-02-25 18:03:08,1364999385298337798,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['gimme', 'falice']",gimme falice
RT @BugheadGif: cole and lili as young falice [3.04] #riverdale https://t.co/PzVA1uoMZ5,False,en,0,52,2021-02-25 17:48:37,1364995731841449986,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['cole', 'lili', 'young', 'falice', '3', '04', 'riverdale']",cole lili young falice 3 04 riverdale
@EmmetNugent95 Yeah hug my falice with your hands,False,en,2,0,2021-02-25 17:48:28,1364995693278978051,"{'neg': 0.0, 'neu': 0.531, 'pos': 0.469, 'compound': 0.6486}","['yeah', 'hug', 'falice', 'hands']",yeah hug falice hands
Its remind me so much of falice!!! (3×03) https://t.co/iQ4IqqnbRY,True,en,7,2,2021-02-25 14:09:22,1364940553947930627,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['remind', 'much', 'falice', '3', '03']",remind much falice 3 03
I’m sorry but Alice Cooper is a queen😂 this will forever be my favourite quote of @CW_Riverdale @madchenamick  #AliceCooper #riverdale #queen #AliceSmith #Falice https://t.co/TNHK6Swv7n,False,en,0,0,2021-02-25 13:00:55,1364923328415342592,"{'neg': 0.05, 'neu': 0.95, 'pos': 0.0, 'compound': -0.0387}","['sorry', 'alice', 'cooper', 'queen', 'forever', 'favourite', 'quote', 'alicecooper', 'riverdale', 'queen', 'alicesmith', 'falice']",sorry alice cooper queen forever favourite quote alicecooper riverdale queen alicesmith falice
@the_falice @1Dtommoway13 @madchenamick @CW_Riverdale Pollys or that girl who left Riverdale.. most probably the second...,False,en,1,0,2021-02-25 11:21:25,1364898290295209989,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['pollys', 'girl', 'left', 'riverdale', 'probably', 'second']",pollys girl left riverdale probably second
RT @peoplewsmiles: Niall Horan https://t.co/RN1OFKj8JO,False,en,0,2777,2021-02-25 11:15:48,1364896875573346305,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['niall', 'horan']",niall horan
@the_falice @falicesushi I AM DYING DNDNWNWN😭😭😂😂,False,en,3,0,2021-02-25 10:50:48,1364890582934573056,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['dying', 'dndnwnwn']",dying dndnwnwn
@CW_Riverdale If it’s not FALICE... I don’t want it,False,en,0,0,2021-02-25 09:22:08,1364868270441058309,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.0572}","['falice', 'want']",falice want
soulmate au fanfics always hit harder for me why has no one written one for falice yet☹️,False,en,7,0,2021-02-25 09:20:16,1364867800876130304,"{'neg': 0.104, 'neu': 0.711, 'pos': 0.185, 'compound': 0.4019}","['soulmate', 'au', 'fanfics', 'always', 'hit', 'harder', 'one', 'written', 'one', 'falice', 'yet']",soulmate au fanfics always hit harder one written one falice yet
@ALlCEJONES What did it say?,False,en,0,0,2021-02-25 04:57:41,1364801721516589056,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",['say'],say
RT @amickpics: LET ALICE BE HAPPY WITH ALL OF HER CHILDREN https://t.co/U3okW2mue3,False,en,0,6,2021-02-25 04:57:11,1364801594601205760,"{'neg': 0.0, 'neu': 0.713, 'pos': 0.287, 'compound': 0.6633}","['let', 'alice', 'happy', 'children']",let alice happy children
@rustyxfawkes HUGE FALICE IN BETWEEN MY LEGS,False,en,0,0,2021-02-25 04:40:36,1364797419205099524,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.4648}","['huge', 'falice', 'legs']",huge falice legs
@chlosbughugs of watching  that jughead is not going wait for her for rest of his life  and that  what happen with falice isn't guarantee for her and jughead,False,en,0,0,2021-02-25 04:03:36,1364788109444083713,"{'neg': 0.061, 'neu': 0.939, 'pos': 0.0, 'compound': -0.1877}","['watching', 'jughead', 'going', 'wait', 'rest', 'life', 'happen', 'falice', 'guarantee', 'jughead']",watching jughead going wait rest life happen falice guarantee jughead
@Recap_Rewind @RiverdaleWriter Wrong blonde...👀😳,False,en,1,0,2021-02-25 02:25:49,1364763501215027211,"{'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.4767}","['wrong', 'blonde']",wrong blonde
I’m sorry....I don’t think Alice was in archies bed you’ve got the wrong blonde.😭😂 https://t.co/SRS9y0ayt5,False,en,8,3,2021-02-25 02:25:06,1364763321916919814,"{'neg': 0.181, 'neu': 0.819, 'pos': 0.0, 'compound': -0.4767}","['sorry', 'think', 'alice', 'archies', 'bed', 'got', 'wrong', 'blonde']",sorry think alice archies bed got wrong blonde
@fpandalice Why were they matching?👀,False,en,2,0,2021-02-25 02:22:46,1364762732545921029,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",['matching'],matching
@the_falice @RiverdaleWriter She was happy in Archie’s bed 🤤,False,en,1,0,2021-02-25 02:20:49,1364762244719009792,"{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.5719}","['happy', 'archie', 'bed']",happy archie bed
RT @MadchenZone: Bring my babies back together😭 #Falice #Riverdale https://t.co/jjrFSwtadf,False,en,0,2,2021-02-25 02:13:26,1364760385627291650,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['bring', 'babies', 'back', 'together', 'falice', 'riverdale']",bring babies back together falice riverdale
Bring my babies back together😭 #Falice #Riverdale https://t.co/jjrFSwtadf,False,en,5,2,2021-02-25 02:13:00,1364760274188836864,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['bring', 'babies', 'back', 'together', 'falice', 'riverdale']",bring babies back together falice riverdale
