tweets,quote_status,language,favorite_count,retweet_count,time,id,rating
the jeronica kiss scene is so funny literally what was going on in that scene,False,en,4,0,2021-02-28 15:27:15,1366047318487822336,"{'neg': 0.0, 'neu': 0.665, 'pos': 0.335, 'compound': 0.7609}"
"@ShellyLahey I can't seem to like them both in a romantic relationship, when in fact the writers should enjoy Jeronica's chemistry! for me, Tabitha and Jugh should be good friends https://t.co/JetirvYl9N",False,en,2,0,2021-02-28 13:59:01,1366025113016098816,"{'neg': 0.055, 'neu': 0.627, 'pos': 0.318, 'compound': 0.8774}"
"my biggest endgame losses literally hassandra, danamy, jonerys, braime, dair, quinncarrie, mergana, stevenat, katjustin, scira, jeronica, phoney, jolaurie, thomesa, wolfstar, jily, simongrace, sansaery, theonsa, bella, wallie, missworm, falice",False,en,7,0,2021-02-28 12:05:27,1365996533884145667,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.4019}"
"I tried as hard as I could but if there's no jeronica I'm out, I have other series to watch",False,en,0,0,2021-02-28 11:17:39,1365984506960830466,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.4588}"
@lancesnarts Always jeronica 💚,False,en,0,0,2021-02-28 10:16:58,1365969232744349696,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"fuck barchie , bighead , Archie , jeronica ship beronica.",False,en,2,0,2021-02-28 08:55:03,1365948618054635521,"{'neg': 0.368, 'neu': 0.632, 'pos': 0.0, 'compound': -0.5423}"
"RT @barcheated: Good day for jeronica nation

https://t.co/gzAD02o44Y",False,en,0,1,2021-02-28 08:43:34,1365945727915089920,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
"RT @imaginebarchie: my bestie, barchies this is to bring to your attention that I very recently discovered Jeronica could be amazing ,they'…",False,en,0,3,2021-02-28 08:08:44,1365936961605820416,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.5859}"
@spott3d If they actually went to go to Pops then we would've of have some Jeronica crumbs right at the moment ughhh fuck Chad!!! 😩  #jeronica,False,en,4,0,2021-02-28 06:34:05,1365913142157574144,"{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.6571}"
"RT @SJEarthquakes: There's something special brewing in San Jose. 

This week in ""Our City, Our Stories,"" we're highlighting our friends at…",False,en,0,8,2021-02-28 06:29:06,1365911891416133632,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.7003}"
Jeronica is in the fucking top ten???? Aaaaah! https://t.co/8VkVL1rxmP,True,en,1,0,2021-02-28 06:18:26,1365909203815079937,"{'neg': 0.0, 'neu': 0.705, 'pos': 0.295, 'compound': 0.5179}"
"@archiebettyOTP @EriVeronica @colesprouse @RiverdaleWriter I really like this couple, but I also really like jeronica and I'm like Veronica with tabitha😭😭😭",False,en,1,0,2021-02-27 23:41:42,1365809365400264707,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.851}"
@nymonologue setting up a bot to vote for jeronica because its a lesbian couple,False,en,3,0,2021-02-27 23:17:05,1365803170912436227,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @melanie_joness: All I ask, please, more scenes jeronica @WriterRAS #vughead #jeronica",False,en,0,4,2021-02-27 22:23:10,1365789599688179712,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.3182}"
@chonistan420 wait when did u join rvd twitter? i was a bh in s1 but dropped them by s2 and replaced them with jeronica and cheronica and at this point i wanted betty dead i had a personal vendetta against her so i didn’t want her with anyone. and now i’m a jarchie wow we have all come so far,False,en,2,0,2021-02-27 21:48:47,1365780947413721096,"{'neg': 0.095, 'neu': 0.767, 'pos': 0.138, 'compound': 0.1822}"
once a jeronica always a jeronica... oh you’re in my veins and i cannot get you out💔,False,en,0,0,2021-02-27 21:25:24,1365775063295942658,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
cant stop watching riverdale through a jeronica lens... yes i noticed that jughead and veronica were wearing very similar glasses this ep and similar outfits in one scene yes i held my breath to see if jughead would say veronica’s name in the pops scene w archie,False,en,0,0,2021-02-27 21:25:24,1365775061853106181,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.7421}"
JERONICA MAKING TOO TEN??? https://t.co/sRericSYfR https://t.co/cwfIu0mgoq,True,en,5,0,2021-02-27 20:32:03,1365761637060382722,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @ShellyLahey: jeronica’s a part of this omg JERONICA’S GO VOTE,True,en,0,4,2021-02-27 20:16:40,1365757764270751745,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@BlaineandArchie Im reggieronnie &gt; jeronica if it makes you feel better but I will not sit here and lie and say j and v don't have chemistry,False,en,0,0,2021-02-27 20:12:40,1365756759705604099,"{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.2382}"
when jeronica beat varchie i knew this was going to be wrong https://t.co/dDLyiykwcg,True,en,3,0,2021-02-27 20:11:29,1365756462249758724,"{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.4767}"
"Good day for jeronica nation

https://t.co/gzAD02o44Y",False,en,4,1,2021-02-27 20:08:29,1365755704364175365,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}"
