tweets,quote_status,language,favorite_count,retweet_count,time,id,rating
"@NancyRiverDrew @crimsonclover90 They are not iconic. Barchie, even Varchie are iconic. BH is a popular ship based on the popularity of CS and the fact that the actors dated irl. People, esp young fans obsessed with CS, love that. And the Network exploited it just like they tried to do with Sophia and Chad.",False,en,2,0,2021-02-27 00:24:06,1365457646619271170,"{'neg': 0.073, 'neu': 0.731, 'pos': 0.196, 'compound': 0.836}"
“Oof that sucks”,False,en,2,0,2021-02-27 00:16:05,1365455627292729356,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
NOO not barchies using the betty and archie fucked up each other jughead and veronica should be mad so that barchie happens they so dumb and find stupid ass excuses to try and make us stop shipping bughead it's not gonna work who cares bughead and varchie are endgame,False,en,2,0,2021-02-27 00:09:04,1365453864762298368,"{'neg': 0.318, 'neu': 0.637, 'pos': 0.045, 'compound': -0.958}"
rob is a varchie warrior mhm https://t.co/f91Dq13Yoh,True,en,11,0,2021-02-27 00:06:22,1365453184332935171,"{'neg': 0.419, 'neu': 0.581, 'pos': 0.0, 'compound': -0.5574}"
who was my varchie/the notebook agenda truther? i have a parallel for you.,False,en,6,0,2021-02-27 00:02:47,1365452281131511814,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@KateWardBustle @bugheadspov any news about varchie  and jughead being only person in town hanging with Tabitha ?,False,en,0,0,2021-02-27 00:02:26,1365452195433480192,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"@KateWardBustle @BugheadUpdates @cmaroon did you get any #varchie scoop too, queen?",False,en,5,0,2021-02-26 23:59:22,1365451421861216258,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.1531}"
do barchies just go around looking for bughead and varchie accounts ?,False,en,11,0,2021-02-26 23:53:03,1365449832673009668,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@mxyaaa3 If we didn't like them because of Barchie we wouldn't have liked Bughead in the beginning. I wouldn't have a problem admitting that they were good couples and all if it was true but it's not true. Varchie to me was just lust and Archie doing whatever Veronica told him to do...,False,en,1,0,2021-02-26 23:47:28,1365448426503208960,"{'neg': 0.056, 'neu': 0.784, 'pos': 0.16, 'compound': 0.7147}"
RT @hereforvarchie: 👏😍❤️ he was all of us. #varchie they're  not supposed to give each other heart eyes atm but here we are ☺️. Anyways our…,False,en,0,4,2021-02-26 23:46:02,1365448068271804416,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
do i post my varchie edit or bugvarchie edit first,False,en,21,0,2021-02-26 23:43:19,1365447384138850309,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
y’all better give us a varchie tease soon,False,en,4,0,2021-02-26 23:40:28,1365446664178302977,"{'neg': 0.225, 'neu': 0.49, 'pos': 0.284, 'compound': 0.1531}"
