tweets,quote_status,language,favorite_count,retweet_count,time,id,neg,neu,pos,compound
"@a_strandale @ArchieComics @camilamendes We haven't even got a CAOS crossover and that actually shares an universe with Riverdale

Also like...they can't insert Riverdale into the 80s anymore
(Actually no they can since somehow it's still 2021 after the time jump, so the timeline doesn't matter)",False,en,6,0,2021-02-26 17:08:45,1365348087527600130,0.047,0.905,0.047,0.0
"Cheryl Blossom has been pretty quiet in the post-time-jump #Riverdale era. This week, we got our first glimpse into what she's been up to. | via @TheMollyTurner
https://t.co/89ecmnJKau",False,en,4,1,2021-02-26 16:21:00,1365336069034676227,0.0,0.89,0.11,0.4939
"RT @madchenamick: In honor of tonight’s seven-year time jump episode, here is last weeks BTS as jellybean, FP and the serpents ride off int…",False,en,0,159,2021-02-26 14:53:52,1365314142337454084,0.0,0.878,0.122,0.4939
@Ls2393710611 @CW_Riverdale Um you calling me a freak is childish and I was just saying there was a 7 year time jump and there grownups they no better then u atleast so like I said get over it and stop acting childish,False,en,0,0,2021-02-26 14:14:55,1365304339569520651,0.25,0.619,0.131,-0.5512
"RT @tvpromosdb: Riverdale Season 5 ""Hiram's Time Jump"" Featurette (HD) https://t.co/raXWgomIxR",False,en,0,3,2021-02-26 13:56:56,1365299815198953473,0.0,1.0,0.0,0.0
"The core four of Riverdale were born in 2001, they graduated from highschool in 2019 / 2020, then there is the time jump that’s seven years into the future, and is of course set in 2021, when they are twenty five, of course, considering they were born in 2001.",False,en,2,0,2021-02-26 11:53:47,1365268823549636609,0.0,1.0,0.0,0.0
@BrianEPaterson Yes Season 1 and now the Time jump!! 🤩🤩 #Riverdale,False,en,1,0,2021-02-26 10:21:27,1365245584496615426,0.0,0.733,0.267,0.508
"@a_wculver Yesmm, I think the time jump is bringing more Riverdale fans back. And I'm finding this incredible, but as you said they are just like friends with benefits, but I meant it would be interesting they have a conversation about your feelings. I would find it interesting",False,en,1,0,2021-02-26 10:12:43,1365243389189488641,0.0,0.685,0.315,0.9578
Roberto Aguirre-Sacasa teases the upcoming developments for Toni and Cheryl after the time jump! #Riverdale #RiverdaleSeason5 #Choni #news https://t.co/259oAtcHPZ,False,en,1,1,2021-02-26 10:00:59,1365240435418034176,0.122,0.878,0.0,-0.3595
@MayFor3ver There is bad writing like with Riverdale (although the time jump made it SOOOOOOO MUCH BETTER) and then there's this,False,en,0,0,2021-02-26 07:35:04,1365203714341031936,0.14,0.76,0.1,-0.25
Riverdale really stepped it up for this time jump. It’s a whole different show.,False,en,0,0,2021-02-26 07:19:08,1365199702912811008,0.0,1.0,0.0,0.0
I hope we're going to see more of Cheryl's story. The first three episodes after the time jump have been great! #Riverdale @madelainepetsch,False,en,0,0,2021-02-26 06:55:06,1365193658270502918,0.0,0.733,0.267,0.807
Okay riverdale time jump let’s try and be “normal” shall we?,False,en,0,0,2021-02-26 06:34:36,1365188498752303107,0.0,0.84,0.16,0.2263
"I need to discuss the post- time jump #Riverdale situation. @djrogge, where you at?",False,en,0,0,2021-02-26 06:11:06,1365182584259547138,0.0,1.0,0.0,0.0
Idk how I feel about the 7 year time jump on Riverdale,False,en,0,0,2021-02-26 05:38:04,1365174270976872455,0.135,0.865,0.0,-0.1027
i actually think time jump riverdale is very good i hope it lasts,False,en,4,0,2021-02-26 05:15:53,1365168685975965700,0.0,0.586,0.414,0.7485
"RT @digitaljami: Previous seasons of #Riverdale: most of these actors look too old to pass as teenagers.
Post time jump: All of these actor…",False,en,0,1,2021-02-26 04:44:32,1365160797341708289,0.0,1.0,0.0,0.0
RT @beautifullyles: talk shit on riverdale all you want but they’re doing really good with adult choni after the 7 year time jump madelaine…,False,en,0,8,2021-02-26 04:38:18,1365159230714634247,0.083,0.721,0.196,0.4835
"Previous seasons of #Riverdale: most of these actors look too old to pass as teenagers.
Post time jump: All of these actors look like teenagers.",False,en,1,1,2021-02-26 04:32:47,1365157839967191040,0.0,0.906,0.094,0.3612
"RT @cappuchoni: @CW_Riverdale The time jump really reinvigorated the series. It’s fresh, and I’m actually excited about watching every stor…",False,en,0,5,2021-02-26 03:38:25,1365144158957142016,0.0,0.683,0.317,0.7841
"Tbh, Riverdale is noticeably better now that they are out of high school. I’m not saying I didn’t enjoy the high school seasons, but the time jump episodes are better plus we have more Betty and Archie scenes.",False,en,2,0,2021-02-26 03:37:54,1365144030649188353,0.044,0.817,0.139,0.6106
It’s so annoying in the new season of Riverdale after the time jump they have to reiterate what they do for a living over and over... I got it the first time! 😂,False,en,0,0,2021-02-26 02:23:20,1365125262749351936,0.102,0.898,0.0,-0.5081
"RT @bettyfelon: After a seven-year time jump on Riverdale, FBI agent Betty Cooper is working on the Trash Bag Killer case (aka the TBK), st…",False,en,0,2,2021-02-26 02:06:26,1365121012514385925,0.158,0.842,0.0,-0.6486
"After a seven-year time jump on Riverdale, FBI agent Betty Cooper is working on the Trash Bag Killer case (aka the TBK), struggling novelist Jughead is looking for the Mothman, and mayor Hiram Lodge is running the entire town into the ground while enjoying some Doritos. https://t.co/Mo7X1q6Fel",False,en,29,2,2021-02-26 01:56:54,1365118613288534019,0.133,0.804,0.064,-0.5719
"RT @AWKWRDCAIT: So the new episode of @CW_Riverdale is set in 2021. It is supposed to be a 7 year time jump.
But in the last episode they o…",False,en,0,1,2021-02-26 01:48:28,1365116489909473284,0.0,1.0,0.0,0.0
Riverdale Season 5 - Hiram's Time Jump --&gt; https://t.co/DSgPBP8Hzm  #Riverdale #Season5,False,en,0,0,2021-02-26 01:21:11,1365109624819564548,0.0,1.0,0.0,0.0
"Is anyone talking about the fact that we havent seen Hiram Lodge standing since the time jump? But we also havent explicitly seen him in a wheelchair or something. Like we know he was sick, why are they trying to make this a mysterious thing? #Riverdale",False,en,0,0,2021-02-26 01:14:51,1365108031478898695,0.076,0.872,0.052,-0.2869
@JamesTaylor21 7 year time jump. hiram is ruining riverdale so they all came back to save it. they’re all teaching at the high school now.,False,en,1,0,2021-02-26 01:05:02,1365105559926697985,0.074,0.809,0.118,0.296
the riverdale time jump is so weird and so great https://t.co/8pd2xiHw63,False,en,5,0,2021-02-26 00:53:33,1365102667987566597,0.143,0.576,0.281,0.4857
IM SORRY????? RIVERDALE DID A 7 YEAR TIME JUMP AND NOW THEYRE ALL OLD!? BYE-,False,en,0,0,2021-02-26 00:27:24,1365096087053361152,0.0,1.0,0.0,0.0
