tweets,quote_status,language,favorite_count,retweet_count,time,id,cleaned_tweets,neg,neu,pos
Wouldn’t mind a Choni scene in here rather than Cheryl’s bedroom👀 https://t.co/YkqTpqpzsU,True,en,5,0,2021-02-26 18:28:42,1365368207041822723,wouldn’t mind a choni scene in here rather than cheryl’s bedroom:eyes: ,0.0,0.0,1.0
"@blossomsvoid yea i saw that this morning and was like, woah... what?!",False,en,1,0,2021-02-26 18:25:24,1365367377404325900," yea i saw that this morning and was like, woah... what?!",0.2,0.2,0.6
@RiverdaleEPS @madelainepetsch @VanessaMorgan No No No did I mention no!!!!!Choni forever❤️❤️❤️,False,en,1,0,2021-02-26 18:25:11,1365367322505076736,   no no no did i mention no!!!!!choni forever:red heart::red heart::red heart:,0.0,0.0,1.0
RT @chonisblossom: Could you imagine if madelaine said she’s locking lips with someone and never mentioned it’s not who we think so the ent…,False,en,0,2,2021-02-26 18:25:02,1365367284982808576,rt : could you imagine if madelaine said she’s locking lips with someone and never mentioned it’s not who we think so the ent…,0.0,0.0,1.0
YES WE NEED THIS FOR CHONI https://t.co/DwPI1iQv0O,True,en,1,0,2021-02-26 18:25:01,1365367279932878849,yes we need this for choni ,0.0,0.0,1.0
RT @chonibIossom: [crying over choni again] https://t.co/T6DhTcSj8A,False,en,0,2,2021-02-26 18:24:35,1365367172705497091,rt : [crying over choni again] ,0.0,0.0,1.0
I NEED CHONI SCENES IN TONI’S BEDROOM 🥺,False,en,22,0,2021-02-26 18:21:17,1365366341323087879,i need choni scenes in toni’s bedroom :pleading face:,0.0,0.0,1.0
choni s2 and s4 https://t.co/bJZ9BZSGGi,True,en,0,0,2021-02-26 18:21:02,1365366276722458634,choni s2 and s4 ,0.0,0.0,1.0
IT'S SO PRETTY????? Choni scene in this room when?? https://t.co/kfCV6OxrBj,True,en,1,0,2021-02-26 18:20:15,1365366081670496259,it's so pretty????? choni scene in this room when?? ,0.0,0.0,1.0
RT @antcinettetopaz: toni finally has her own room and a space that feels like hers 🥺🥺 https://t.co/6swQdoZtOk,False,en,0,14,2021-02-26 18:20:09,1365366056362135554,rt : toni finally has her own room and a space that feels like hers :pleading face::pleading face: ,0.07142857142857142,0.0,0.9285714285714286
"@bugheadspov I think it's interesting how she says that. Like, it's just a kiss. She doesn't hint a relationship or smth. I doubt it will be a serious threat for choni. Mostly be part of a plan, or a weak moment or smth like that",False,en,2,0,2021-02-26 18:18:13,1365365567570468866," i think it's interesting how she says that. like, it's just a kiss. she doesn't hint a relationship or smth. i doubt it will be a serious threat for choni. mostly be part of a plan, or a weak moment or smth like that",0.045454545454545456,0.0,0.9545454545454546
"@MBlossom34 Nooooo If I don't see them together
I'm officially stopping the show. 😭#choni",False,en,2,0,2021-02-26 18:16:59,1365365259071082499," nooooo if i don't see them together
i'm officially stopping the show. :loudly crying face:choni",0.0,0.0,1.0
i miss choni,False,en,0,0,2021-02-26 18:16:35,1365365156432216069,i miss choni,0.0,0.0,1.0
"@robynchoni remember, Madeleine said this and she knows ALL of the choni shippers want them to be together again. so it probably is what it seems",False,en,4,0,2021-02-26 18:16:16,1365365077545807885," remember, madeleine said this and she knows all of the choni shippers want them to be together again. so it probably is what it seems",0.0,0.0,1.0
Someone else instigates the kiss and toni oversees and when she sees she leaves straight away hurt. BUT she doesn't see cheryl pull away out of the kiss causing CHONI tension and angst as well as the audience knowing somthing both the characters don't.,False,en,0,0,2021-02-26 18:14:57,1365364746535452681,someone else instigates the kiss and toni oversees and when she sees she leaves straight away hurt. but she doesn't see cheryl pull away out of the kiss causing choni tension and angst as well as the audience knowing somthing both the characters don't.,0.0,0.0,1.0
i think some of yall are WAY too mad about Cheryl kissing someone else.,False,en,3,0,2021-02-26 18:14:39,1365364669704249347,i think some of yall are way too mad about cheryl kissing someone else.,0.0,0.0,1.0
RT @SurvivedShows: Roberto Aguirre-Sacasa teases the upcoming developments for Toni and Cheryl after the time jump! #Riverdale #RiverdaleSe…,False,en,0,1,2021-02-26 18:13:06,1365364278992199686,rt : roberto aguirre-sacasa teases the upcoming developments for toni and cheryl after the time jump! riverdale riverdalese…,0.0,0.0,1.0
about to do a choni x enchanted thread because i'm having a breakdown i Can't believe This.,False,en,4,0,2021-02-26 18:12:55,1365364233144315909,about to do a choni x enchanted thread because i'm having a breakdown i can't believe this.,0.0,0.0,1.0
@nayastopaz i mean she’s hot but NO CHONI ENDGAME,False,en,0,0,2021-02-26 18:12:32,1365364139435167745, i mean she’s hot but no choni endgame,0.25,0.0,0.75
Having a Choni breakdown https://t.co/dKsFCNa0G4,False,en,2,0,2021-02-26 18:12:27,1365364115875782666,having a choni breakdown ,0.0,0.0,1.0
I have two thoughts on how it can happen as choni is meant to be all about tension and angst.,False,en,0,0,2021-02-26 18:12:19,1365364084607225861,i have two thoughts on how it can happen as choni is meant to be all about tension and angst.,0.0,0.0,1.0
"choni love confession like this when
 https://t.co/bhIFW60RPe",False,en,94,15,2021-02-26 18:12:09,1365364040537501698,"choni love confession like this when
 ",0.3333333333333333,0.0,0.6666666666666666
@snsationalmagic no. Choni rain kiss 😾,False,en,1,0,2021-02-26 18:11:05,1365363772609724417, no. choni rain kiss :pouting cat:,0.0,0.0,1.0
CHONI RAINKISS ONLY https://t.co/I89lQsQEAL https://t.co/CoReYFLW7M,True,en,11,0,2021-02-26 18:10:17,1365363572017086468,choni rainkiss only  ,0.0,0.0,1.0
i love barchie but i better be getting a lot more choni already it’s not fair that the one sapphic ship hasn’t gotten anything for a long ass time i’m so tired of this,False,en,0,0,2021-02-26 18:09:16,1365363315271213057,i love barchie but i better be getting a lot more choni already it’s not fair that the one sapphic ship hasn’t gotten anything for a long ass time i’m so tired of this,0.029411764705882353,0.0,0.9705882352941176
and then it would bring more to choni angst and it just would be so flavorful wow i just want sapphics already,False,en,0,0,2021-02-26 18:08:21,1365363083955359746,and then it would bring more to choni angst and it just would be so flavorful wow i just want sapphics already,0.0,0.0,1.0
i love choni more than ANYTHING but i’d totally be here for like a chabitha one night stand like wow it would be amazing,False,en,0,0,2021-02-26 18:07:37,1365362902769754113,i love choni more than anything but i’d totally be here for like a chabitha one night stand like wow it would be amazing,0.125,0.0,0.875
@chonirubies I NEED MY CHONI RAINKISS https://t.co/Ce1oVcky1Q,False,en,1,0,2021-02-26 18:06:23,1365362589744713732, i need my choni rainkiss ,0.0,0.0,1.0
"@tonistopazz It's March 10th but I think for different timezones yeah, March 11",False,en,0,0,2021-02-26 18:05:52,1365362460853751810," it's march 10th but i think for different timezones yeah, march 11",0.0,0.0,1.0
@bettycvpers I JUST WANT A CHONI KISS https://t.co/nMDa5vgLaK,False,en,1,0,2021-02-26 18:05:19,1365362320277262336, i just want a choni kiss ,0.0,0.0,1.0
@adoreschoni Oh ffs... I was just about to say I was emotionally fine with everything choni going on... and now this pops up in my time line... back to tears I go,False,en,1,0,2021-02-26 18:05:00,1365362243802652675, oh ffs... i was just about to say i was emotionally fine with everything choni going on... and now this pops up in my time line... back to tears i go,0.0,0.0967741935483871,0.9032258064516129
"Idc what anyone says, choni is endgame. Bye",False,en,1,0,2021-02-26 18:03:11,1365361787416248327,"idc what anyone says, choni is endgame. bye",0.125,0.0,0.875
@adoreschoni and it better be a 0.1 second peck like the choni ones.,False,en,1,0,2021-02-26 18:02:58,1365361731371995141, and it better be a 0.1 second peck like the choni ones.,0.08333333333333333,0.0,0.9166666666666666
i wouldn’t mind this actually... pretty sure tabitha would be cheryl’s type BUT choni forever 😭 https://t.co/VGyIebYHXx,True,en,4,0,2021-02-26 18:02:02,1365361494637105157,i wouldn’t mind this actually... pretty sure tabitha would be cheryl’s type but choni forever :loudly crying face: ,0.0,0.0625,0.9375
@chxrylpetsch Ikr 😭 the fact toni is like most definitely gonna see it too but choni is end game and if they don't get back together in season 5 writers will have a war on their handss,False,en,3,0,2021-02-26 18:00:20,1365361067166232577, ikr :loudly crying face: the fact toni is like most definitely gonna see it too but choni is end game and if they don't get back together in season 5 writers will have a war on their handss,0.027777777777777776,0.0,0.9722222222222222
OKAY SO BASICALLY i had just finished watching 5x08 but i can’t rlly remember much from that ep except CHONI SCENES WHICH WERE REALLY CUTE and then the 5x09 promo came on AND IT WAS OF VERONICA CLOSING THE PEMBROOKE DOOR AND THEN IT FLASHED TO HER AND ARCHIE MAKING OUT+ https://t.co/Galey4FxKP,True,en,5,0,2021-02-26 17:59:22,1365360825469435906,okay so basically i had just finished watching 5x08 but i can’t rlly remember much from that ep except choni scenes which were really cute and then the 5x09 promo came on and it was of veronica closing the pembrooke door and then it flashed to her and archie making out+ ,0.0,0.0,1.0
