tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets,neg,neu,pos
VARCHIE BREAKUP https://t.co/dvNHg271HJ,False,en,0,0,2021-02-21 04:49:29,1363350105730863106,"['varchie', 'breakup']",varchie breakup ,0.00,0.00,1.00
RT @bugverchoni: when? https://t.co/JTXV4duBbL,False,en,0,29,2021-02-21 04:46:00,1363349230270709760,[],rt : when? ,0.00,0.00,1.00
"@barchie2021 Archie still has feelings for Veronica, this is the problem of shipping Barchie or Varchie, Archie will always regret choosing just one",False,en,0,0,2021-02-21 04:32:50,1363345913956204544,"['archie', 'still', 'feelings', 'veronica', 'problem', 'shipping', 'barchie', 'varchie', 'archie', 'always', 'regret', 'choosing', 'one']"," archie still has feelings for veronica, this is the problem of shipping barchie or varchie, archie will always regret choosing just one",0.00,0.00,1.00
"@kat__writes I even agree, but I don't know ... the problem isn't Barchie, don't you realize that Varchie is also a couple that is missing something? the problem is Archie.

I would prefer to see Jughead with Veronica, it would be more fun",False,en,16,0,2021-02-21 04:18:47,1363342380351553538,"['even', 'agree', 'know', 'problem', 'barchie', 'realize', 'varchie', 'also', 'couple', 'missing', 'something', 'problem', 'archie', 'would', 'prefer', 'see', 'jughead', 'veronica', 'would', 'fun']","  writes i even agree, but i don't know ... the problem isn't barchie, don't you realize that varchie is also a couple that is missing something? the problem is archie.

i would prefer to see jughead with veronica, it would be more fun",0.00,0.02,0.98
"RT @Barchie18love: OMG!!! ONE OF THE RIVERDALE'S WRITERS LIKED WHAT I SAID ABOUT BARCHIE, BUGHEAD AND VARCHIE :
https://t.co/MPvBhHNLwF

#b…",False,en,0,13,2021-02-21 03:59:57,1363337639311544320,"['omg', 'one', 'riverdale', 'writers', 'liked', 'said', 'barchie', 'bughead', 'varchie', 'b']","rt : omg!!! one of the riverdale's writers liked what i said about barchie, bughead and varchie :


b…",0.06,0.00,0.94
"@AlwaysGeorge89 @bugheadconfess_ I've never been a fan of Varchie or Bughead, tbh. They just seem like toxic relationships, imho.",False,en,1,0,2021-02-21 03:26:48,1363329295104544769,"['never', 'fan', 'varchie', 'bughead', 'tbh', 'seem', 'like', 'toxic', 'relationships', 'imho']","   i've never been a fan of varchie or bughead, tbh. they just seem like toxic relationships, imho.",0.06,0.00,0.94
@geritisfanfic @bugheadconfess_ I agree. I think Varchie &amp; Bughead are EndGame. But part of me thinks there’s still a chance Barchie is EndGame. I think they get a significant ship run. I have 2 theories how R ends. Down to the very final frame.,False,en,0,0,2021-02-21 03:24:49,1363328797928550400,"['agree', 'think', 'varchie', 'amp', 'bughead', 'endgame', 'part', 'thinks', 'still', 'chance', 'barchie', 'endgame', 'think', 'get', 'significant', 'ship', 'run', '2', 'theories', 'r', 'ends', 'final', 'frame']",   i agree. i think varchie &amp; bughead are endgame. but part of me thinks there’s still a chance barchie is endgame. i think they get a significant ship run. i have 2 theories how r ends. down to the very final frame.,0.05,0.00,0.95
"@bugheadaIe You what I just noticed there is no sign of barchie theme song but here we all know who have ....ahem ahem our endgame (bughead,choni and varchie)",False,en,3,0,2021-02-21 03:02:27,1363323171236179968,"['noticed', 'sign', 'barchie', 'theme', 'song', 'know', 'ahem', 'ahem', 'endgame', 'bughead', 'choni', 'varchie']"," you what i just noticed there is no sign of barchie theme song but here we all know who have ....ahem ahem our endgame (bughead,choni and varchie)",0.10,0.10,0.81
@yan07452452 @INimxo @lilireinhart well after season 4 we know varchie didn’t work out but the writers DO know that the bhs make up most of the viewers and the ratings will go ⬇️,False,en,0,0,2021-02-21 03:01:13,1363322859238621187,"['well', 'season', '4', 'know', 'varchie', 'work', 'writers', 'know', 'bhs', 'make', 'viewers', 'ratings', 'go']",   well after season 4 we know varchie didn’t work out but the writers do know that the bhs make up most of the viewers and the ratings will go :down arrow:,0.00,0.00,1.00
"RT @Hannah_Croft: Caught up on #Riverdale today, and I got to say while I’m team #bughead forever, I think #Barchie has more chemistry than…",False,en,0,3,2021-02-21 02:59:57,1363322540068909061,"['caught', 'riverdale', 'today', 'got', 'say', 'team', 'bughead', 'forever', 'think', 'barchie', 'chemistry']","rt  croft: caught up on riverdale today, and i got to say while i’m team bughead forever, i think barchie has more chemistry than…",0.00,0.00,1.00
